Class,Accuracy (%)
aluminium_foil,100.00
banded,91.30
blotchy,39.13
braided,51.85
brown_bread,100.00
bubbly,65.22
bumpy,32.14
chequered,92.59
cobwebbed,66.67
corduroy,100.00
cotton,100.00
cracked,82.76
cracker,100.00
crosshatched,52.00
crystalline,89.29
dotted,68.00
fabric,40.00
fibrous,61.90
flecked,62.50
foliage,84.21
freckled,94.44
frilly,68.97
gauzy,47.83
glass,48.00
grid,71.43
grooved,63.16
honeycombed,75.00
interlaced,80.95
knitted,70.37
lacelike,82.61
leather,75.00
lined,87.50
linen,100.00
marbled,44.00
matted,66.67
meshed,37.04
metal,34.78
orange_peel,100.00
paisley,68.00
paper,61.90
perforated,55.56
pitted,29.41
plastic,57.14
pleated,50.00
polka-dotted,56.25
porous,46.67
potholed,88.46
sandpaper,100.00
scaly,73.91
smeared,45.45
spiralled,48.15
sponge,100.00
sprinkled,50.00
stained,34.62
stone,37.50
stratified,59.26
striped,88.00
studded,75.00
styrofoam,100.00
swirly,64.00
veined,65.22
waffled,65.22
water,70.97
wood,45.00
woven,73.68
wrinkled,71.43
zigzagged,94.74

Actual,Predicted,Count
polka-dotted,dotted,7
dotted,polka-dotted,6
polka-dotted,perforated,6
meshed,grid,6
stained,blotchy,6
marbled,blotchy,5
glass,water,5
pleated,grooved,4
bumpy,porous,4
metal,leather,4
